,,,Salary,Salary,Salary,Salary,Salary,Salary,,-additional
56,Julius Randle,BRK,$33333334,$35802468,,,,,$33333334,randlju01
57,Tyler Herro,MIL,$33000000,,,,,,$33000000,herroty01
58,Dejounte Murray,NOP,$32785071,$30751504,,,,,$32785071,murrade01
59,Immanuel Quickley,TOR,$32500000,$32500000,$32500000,,,,$97500000,quickim01
60,Jalen Suggs,ORL,$32400000,$29600000,$26800000,$26700000,,,$88800000,suggsja01
61,Derrick White,BOS,$30348000,$32596000,$34844000,,,,$62944000,whitede01
62,Walker Kessler,LAL,$30232558,$31744186,$33255814,$34767442,,,$95232558,kesslwa01
63,Andrew Wiggins,MIA,$30169644,$16346154,$17653846,,,,$46515798,wiggian01
64,Jalen Johnson,ATL,$30000000,$30000000,$30000000,$30000000,,,$120000000,johnsja05
65,RJ Barrett,TOR,$29616071,,,,,,$29616071,barrerj01
66,Jarrett Allen,CLE,$28000000,$30240000,$32480000,,,,$90720000,allenja01
67,Draymond Green,GSW,$27678571,,,,,,$27678571,greendr01
68,Trey Murphy III,NOP,$27000000,$29000000,$31000000,,,,$87000000,murphtr02
69,Devin Vassell,SAS,$27000000,$24652174,$27000000,,,,$78652174,vassede01
70,Myles Turner,MIL,$26584164,$27850077,$29115990,,,,$54434241,turnemy01
71,Jaden McDaniels,MIN,$26200001,$28006898,$29813790,,,,$84020689,mcdanja02
72,Dyson Daniels,ATL,$25000000,$25000000,$25000000,$25000000,,,$100000000,daniedy01
73,Josh Giddey,CHI,$25000000,$25000000,$25000000,,,,$75000000,giddejo01
74,Fred VanVleet,HOU,$25000000,,,,,,$25000000,vanvlfr01
75,De'Andre Hunter,SAC,$24910714,,,,,,$24910714,huntede01
76,Jonathan Kuminga,ATL,$24300000,,,,,,,kuminjo01
77,Keegan Murray,SAC,$24137936,$26068965,$27999999,$29931033,$31862067,,$140000000,murrake02
78,Jabari Smith Jr.,HOU,$23643411,$21751940,$23643411,$25534883,$27426355,,$122000000,smithja05
79,Naz Reid,CHO,$23275862,$25000000,$26724138,$28448276,,,$75000000,reidna01
80,Isaiah Hartenstein,OKC,$23148148,$25000000,$26851852,,,,$48148148,harteis01
81,Nic Claxton,CHI,$23147727,$20943184,,,,,$44090911,claxtni01
82,Cameron Johnson,DEN,$23062500,,,,,,$23062500,johnsca02
83,Coby White,CHO,$22839506,$24666667,$26493827,,,,$74000000,whiteco01
84,Miles Bridges,PHO,$22826087,,,,,,$22826087,bridgmi02
85,Damian Lillard,MIL,$35915403,$36620603,$22516603,$22516603,,,$90066412,lillada01
86,Christian Braun,DEN,$21551726,$23275863,$25000000,$26724137,$28448274,,$125000000,braunch01
87,Norman Powell,CHI,$21500000,$22575000,,,,,$21500000,powelno01
88,CJ McCollum,ATL,$21000000,,,,,,$21000000,mccolcj01
89,Josh Hart,NYK,$20923760,$22375280,,,,,$20923760,hartjo01
90,Kyle Kuzma,MIL,$20345152,,,,,,$20345152,kuzmaky01
91,Ivica Zubac,IND,$20342140,$21790300,,,,,$42132440,zubaciv01
92,Malik Monk,SAC,$20190035,$21582451,,,,,$20190035,monkma01
93,Shaedon Sharpe,POR,$20089287,$21696429,$23303571,$24910713,,,$90000000,sharpsh01
94,Dillon Brooks,PHO,$19992727,$22530864,$24333333,$26135802,,,$92992726,brookdi01
95,P.J. Washington,DAL,$19813044,$21398088,$22983132,$24568176,,,$88762440,washipj01
96,Alex Caruso,OKC,$19550160,$20998320,$22446480,,,,$62994960,carusal01
97,Andrew Nembhard,IND,$19550160,$20998320,,,,,$40548480,nembhan01
98,Kristaps Porziņģis,GSW,$19512195,$20487805,,,,,$19512195,porzikr01
99,Jakob Poeltl,TOR,$19500000,$27300000,$29484000,$27300000,,,$76284000,poeltja01
100,Bradley Beal,PHO,$25004710,$19383010,$19383010,$19383010,,,$77532040,bealbr01
101,Ayo Dosunmu,MIN,$19310345,$20855173,$22400001,$23944829,$25489652,,$86510348,dosunay01
102,Luguentz Dort,ATL,$18222222,,,,,,$18222222,dortlu01
103,Grayson Allen,CHO,$18125000,$19375000,,,,,$18125000,allengr01
104,Wendell Carter Jr.,ORL,$18102000,$19550160,$20998320,,,,$37652160,cartewe01
105,Toumani Camara,POR,$18080358,$19526786,$20973214,$22419642,,,$81000000,camarto01
106,Patrick Williams,CHI,$18000000,$18000000,$18000000,,,,$36000000,willipa01
107,Kentavious Caldwell-Pope,MEM,$20194392,,,,,,$17744971,caldwke01
108,Keldon Johnson,SAS,$17500000,,,,,,$17500000,johnske04
109,Klay Thompson,DAL,$17460317,,,,,,$17460317,thompkl01
110,Daniel Gafford,DAL,$17263584,$18126763,$18989942,,,,$54380289,gaffoda01
111,Santi Aldama,DAL,$17007043,$17007043,,,,,$17007043,aldamsa01
112,John Collins,DET,$17000000,$17000000,$17000000,,,,$17000000,collijo01
113,Victor Wembanyama,SAS,$16868246,$43500000,$46980000,$50460000,$53940000,$57420000,$211748246,wembavi01
114,Max Strus,CLE,$16660836,,,,,,$16660836,strusma01
115,Nikola Jović,MIA,$16200000,$14904000,$15096000,$16200000,,,$62400000,jovicni01
116,Onyeka Okongwu,ATL,$16120000,$16880000,,,,,$33000000,okongon01
117,Duncan Robinson,DET,$15992957,$15151222,,,,,,robindu01
118,Terance Mann,BRK,$15500000,$16000000,,,,,$31500000,mannte01
119,Gary Trent Jr.,MIL,$15200000,$16400000,$16400000,$16000000,,,$64000000,trentga02
120,Brandon Miller,CHO,$15104626,,,,,,$15104626,millebr02
121,Mitchell Robinson,BOS,$15044000,$15796200,$16548400,,,,$47388600,robinmi01
122,Tobias Harris,SAS,$15044000,$15796200,,,,,$30840200,harrito02
123,Obi Toppin,IND,$15000000,$16025000,,,,,$31025000,toppiob01
124,Isaiah Stewart,MEM,$15000000,$15000000,,,,,$15000000,stewais01
125,Herbert Jones,NOP,$14898786,$20858300,$22526964,$24195628,,,$58284050,joneshe01
126,Caris LeVert,MIL,$14809200,,,,,,$14809200,leverca01
127,Dennis Schröder,CLE,$14809200,$15514400,,,,,$14809200,schrode01
128,AJ Dybantsa,WAS,$14748000,$15485760,$16223040,$20457254,,,$30233760,dybanaj01
129,Josh Green,MIN,$14679012,,,,,,$14679012,greenjo02
130,Bobby Portis,MIA,$14521414,$15597074,,,,,$14521414,portibo01
131,Cooper Flagg,DAL,$14517480,$15208680,$19178146,,,,$14517480,flaggco01
132,Nickeil Alexander-Walker,ATL,$14403710,$15161800,$15919890,,,,$29565510,alexani01
133,Grant Williams,CHO,$14265750,,,,,,$14265750,willigr01
134,Jock Landale,ATL,$14100000,,,,,,$14100000,landajo01
135,Tari Eason,HOU,$14051724,$15175862,$16300000,$17424138,$18548276,,$62951724,easonta01
136,Rui Hachimura,LAC,$14000000,$14000000,,,,,$14000000,hachiru01
137,Corey Kispert,ATL,$13975000,$13050000,$13050000,,,,$27025000,kispeco01
138,Robert Williams,POR,$13968254,$14666667,$15365079,,,,$18968254,williro04
139,Quentin Grimes,LAL,$13953489,$14651163,$15348837,$16046511,,,$43953489,grimequ01
140,Julian Champagnie,SAS,$13888889,$15000000,$16111111,,,,$45000000,champju02
141,Zaccharie Risacher,DAL,$13826040,$17434637,,,,,$13826040,risacza01
142,Scoot Henderson,POR,$13585523,,,,,,$13585523,hendesc01
143,Damian Lillard,POR,$35915403,$36620603,$22516603,$22516603,,,$13398800,lillada01
144,Dorian Finney-Smith,CHO,$13335000,$13335000,$13335000,,,,$26670000,finnedo01
145,Darryn Peterson,UTA,$13195320,$13855320,$14515320,$18318335,,,$27050640,peterda02
146,Deni Avdija,POR,$13125000,$11875000,,,,,$25000000,avdijde01
147,Sandro Mamukelashvili,LAL,$13000000,$12350000,$13000000,$13650000,,,$38350000,mamuksa01
148,Steven Adams,HOU,$13000000,$11869566,,,,,$24869566,adamsst01
149,Dylan Harper,SAS,$12989040,$13607760,$17172994,,,,$12989040,harpedy01
150,Donte DiVincenzo,MIN,$12535000,,,,,,$12535000,divindo01
151,Moses Moody,GSW,$12500000,$13425925,,,,,$25925925,moodymo01
152,Brandon Clarke,MEM,$12500000,,,,,,$12500000,clarkbr01
153,Jarred Vanderbilt,LAL,$12428571,$13285714,,,,,$12428571,vandeja01
154,Davion Mitchell,MIA,$12400000,,,,,,$12400000,mitchda01
155,Alex Sarr,WAS,$12370680,$15611798,,,,,$12370680,sarral01
156,Amen Thompson,HOU,$12258609,,,,,,$12258609,thompam01
157,Cameron Boozer,MEM,$11849760,$12441840,$13034880,$16476089,,,$24291600,boozeca02
158,Isaac Okoro,CHI,$11814814,,,,,,$11814814,okorois01
159,Mark Williams,PHO,$11728395,$12666667,$13604938,,,,$38000000,willima07
160,VJ Edgecombe,PHI,$11663880,$12219720,$15445727,,,,$11663880,edgecvj01
161,Isaiah Joe,DET,$11323006,$11323006,,,,,$11323006,joeis01
162,Ausar Thompson,DET,$11117925,,,,,,$11117925,thompau01
163,Reed Sheppard,HOU,$11108880,$14041625,,,,,$11108880,sheppre01
164,Aaron Nesmith,IND,$11000000,$19418000,$20971440,,,,$51389440,nesmiaa01
165,T.J. McConnell,IND,$11000000,$11800000,$11800000,,,,$22800000,mccontj01
166,Royce O'Neale,CHO,$10875000,$11625000,,,,,$22500000,onealro01
167,Sam Hauser,BOS,$10848215,$11651785,$12455356,,,,$34955356,hausesa01
168,Collin Gillespie,PHO,$10714286,$11571429,$12428571,$13285714,,,$48000000,gilleco01
169,Caleb Wilson,CHI,$10683720,$11217960,$11752320,$14866685,,,$21901680,wilsoca01
170,Jusuf Nurkić,UTA,$10576923,$11423077,,,,,$22000000,nurkiju01
171,Kon Knueppel,CHO,$10516560,$11017560,$13937214,,,,$10516560,knuepko01
172,Derrick Jones Jr.,LAC,$10476190,,,,,,$10476190,jonesde02
173,Luke Kornet,SAS,$10450000,$9900000,$9350000,,,,$13000000,kornelu01
174,Anthony Black,ORL,$10106316,,,,,,$10106316,blackan01
175,A.J. Green,MIL,$10044644,$10848215,$11651786,$12455355,,,$45000000,greenaj01
176,Stephon Castle,SAS,$10015920,$12670139,,,,,$10015920,castlst01
177,Caleb Martin,DAL,$10001493,$9371351,,,,,$10001493,martica02
178,Day'Ron Sharpe,BRK,$10000000,$10000000,,,,,$10000000,sharpda01
179,Keaton Wagler,LAC,$9674760,$10158240,$10641960,$13483364,,,$19833000,wagleke01
180,Buddy Hield,ATL,$9658536,$10097560,,,,,$9658536,hieldbu01
181,Ace Bailey,UTA,$9523080,$9976560,$12640302,,,,$9523080,baileac01
182,Naji Marshall,DAL,$9428571,$18195600,$17285820,$16376040,,,$61286031,marshna01
183,Jalen Smith,CHI,$9428571,,,,,,$9428571,smithja04
184,Collin Sexton,LAL,$9366000,$9834300,,,,,$19200300,sextoco01
185,Moritz Wagner,BRK,$9268293,$9731707,,,,,$9268293,wagnemo01
186,Bilal Coulibaly,WAS,$9240012,,,,,,$9240012,coulibi01
187,Aaron Wiggins,ATL,$9224300,$8345797,$8345797,,,,$17570097,wiggiaa01
188,Ty Jerome,MEM,$9220050,$9659100,,,,,$9220050,jeromty01
189,Brook Lopez,LAC,$9187500,,,,,,$9187500,lopezbr01
190,Sam Merrill,CLE,$9160715,$9839285,$10517856,,,,$29517856,merrisa01
191,Ron Holland,DET,$9069600,$11491183,,,,,$9069600,hollaro01
192,Dean Wade,PHI,$9000000,$9450000,$9900000,$10350000,,,$30000000,wadede01
193,Mikel Brown Jr.,BRK,$8787000,$9226440,$9666000,$12256488,,,$18013440,brownmi02
194,Keon Ellis,BRK,$8780488,$9219512,,,,,$8780488,elliske01
195,Tre Johnson,WAS,$8649600,$9061680,$11490211,,,,$8649600,johnstr03
196,Jarace Walker,IND,$8478542,,,,,,$8478542,walkeja02
197,Kevin Huerter,DET,$8333333,$9000000,$9666667,,,,$27000000,huertke01
198,Zach Collins,CHI,$8292683,$8707317,,,,,$17000000,colliza01
199,Quinten Post,MEM,$8285714,$8700000,$9114286,,,,$8285714,postqu01
200,Max Christie,DAL,$8285714,$8857143,,,,,$8285714,chrisma02
201,Tidjane Salaün,CHO,$8237880,$10445633,,,,,$8237880,salauti01
202,Deandre Ayton,WAS,$8104000,,,,,,$8104000,aytonde01
203,Kelly Oubre Jr.,IND,$8050000,$8450000,,,,,$16500000,oubreke01
204,Darius Acuff Jr.,SAC,$8021640,$8422920,$8823600,$11205972,,,$16444560,acuffda01
205,Jonathan Isaac,ORL,$10449421,,,,,,$10449421,isaacjo01
206,Harrison Barnes,SAS,$8000000,,,,,,$8000000,barneha02
207,Tre Mann,CHO,$8000000,$8000000,,,,,$8000000,manntr01
208,Tre Jones,CHI,$8000000,$8000000,,,,,$8000000,jonestr01
209,Jeremiah Fears,NOP,$7896240,$8271960,$10505389,,,,$7896240,fearsje01
210,Taylor Hendricks,MEM,$7805900,,,,,,$7805900,hendrta01
211,Jaylin Williams,OKC,$7774648,$7774648,,,,,$7774648,willija07
212,Payton Pritchard,BOS,$7767857,$8303571,,,,,$16071428,pritcpa01
213,Goga Bitadze,ORL,$7608696,,,,,,$7608696,bitadgo01
214,Donovan Clingan,POR,$7519920,$9550298,,,,,$7519920,clingdo01
215,Zeke Nnaji,DEN,$7466667,$7466667,,,,,$7466667,nnajize01
216,Cason Wallace,OKC,$7420806,,,,,,$7420806,wallaca01
217,Kingston Flemings,ATL,$7348680,$7716120,$8083680,$10282441,,,$15064800,flemiki01
218,Dereck Lively II,DAL,$7239131,,,,,,$7239131,livelde01
219,Egor Dёmin,BRK,$7233720,$7578240,$9639522,,,,$7233720,demineg01
220,Gradey Dick,TOR,$7131511,,,,,,$7131511,dickgr01
221,Clint Capela,HOU,$7035000,$7370000,,,,,$14405000,capelca01
222,Jordan Hawkins,NOP,$7021895,,,,,,$7021895,hawkijo01
223,Isaiah Jackson,LAC,$7000000,$6400000,,,,,$13400000,jacksis01
224,Rob Dillingham,CHI,$6889320,$8763216,,,,,$6889320,dilliro01
225,Al Horford,GSW,$6822000,$7163100,,,,,$13985100,horfoal01
226,Morez Johnson Jr.,DAL,$6754800,$7093080,$7430640,$9466636,,,$13847880,johnsmo01
227,Collin Murray-Boyles,TOR,$6649560,$6966000,$8874684,,,,$6649560,murraco01
228,Keyonte George,UTA,$6563925,,,,,,$6563925,georgke01
229,Tim Hardaway Jr.,MIA,$6500000,,,,,,$6500000,hardati02
230,Saddiq Bey,NOP,$6440678,,,,,,$6440678,beysa01
231,Brayden Burries,MIL,$6417360,$6738000,$7058520,$8999614,,,$13155360,burribr01
232,Zach Edey,MEM,$6332760,$8067937,,,,,$6332760,edeyza01
233,Khaman Maluach,PHO,$6316680,$6617160,$8436880,,,,$6316680,maluakh01
234,John Konchar,UTA,$6165000,,,,,,$6165000,konchjo01
235,Yaxel Lendeborg,GSW,$6096240,$6401280,$6706200,$8899128,,,$12497520,lendeya01
236,Luke Kennard,PHO,$6064000,$6367200,,,,,$6064000,kennalu01
237,Marcus Smart,HOU,$6064000,$6367200,,,,,$6064000,smartma01
238,Cody Williams,UTA,$6015600,$7669890,,,,,$6015600,willico04
239,Cedric Coward,MEM,$6001080,$6286920,$8342743,,,,$6001080,cowarce01
240,Spencer Jones,DEN,$6000000,$5750000,,,,,$11750000,jonessp01
241,Jaxson Hayes,UTA,$6000000,$6000000,,,,,$6000000,hayesja02
242,Josh Okogie,UTA,$6000000,$6000000,,,,,$6000000,okogijo01
243,Anfernee Simons,PHI,$6000000,$6300000,,,,,$6000000,simonan01
244,Jake LaRavia,LAL,$6000000,,,,,,$6000000,laravja01
245,Jaden Hardy,LAL,$6000000,$6000000,,,,,$6000000,hardyja02
246,D'Angelo Russell,MEM,$5969250,,,,,,$5969250,russeda01
247,Jaime Jaquez Jr.,MIL,$5939141,,,,,,$5939141,jaqueja01
248,Nicolas Batum,LAC,$5881680,,,,,,,batumni01
249,Jordan Goodwin,PHO,$5864198,$6333333,$6802469,,,,$12197531,goodwjo01
250,Aday Mara,OKC,$5791680,$6081480,$6371160,$8779459,,,$11873160,maraad01
251,Ousmane Dieng,MIL,$5750000,$5750000,$5750000,,,,$11500000,diengou01
252,Matas Buzelis,CHI,$5715360,$7584283,,,,,$5715360,buzelma01
253,Noa Essengue,CHI,$5701200,$5972760,$8230464,,,,$5701200,essenno01
254,Kris Dunn,LAC,$5684800,,,,,,,dunnkr01
255,Brandin Podziemski,GSW,$5679459,,,,,,$5679459,podzibr01
256,Bradley Beal,LAC,$25004710,$19383010,$19383010,$19383010,,,,bealbr01
257,Paul Reed,DET,$5602689,,,,,,,reedpa01
258,Khris Middleton,WAS,$5591122,$5870678,$6150234,,,,$6499000,middlkh01
259,Nate Ament,MIL,$5502000,$5777280,$6052200,$8648594,,,$11279280,amentna01
260,Precious Achiuwa,SAC,$5477000,$5750850,,,,,$11227850,achiupr01
261,De'Anthony Melton,GSW,$5477000,$5750850,,,,,$5477000,meltode01
262,Cam Whitmore,WAS,$5458310,,,,,,$5458310,whitmca01
263,Nikola Topić,OKC,$5429760,$7482210,,,,,$5429760,topicni01
264,Derik Queen,NOP,$5416080,$5673840,$8107918,,,,$5416080,queende01
265,Noah Clowney,BRK,$5414034,,,,,,$5414034,clownno01
266,Kevin Porter Jr.,MIL,$5390700,,,,,,$5390700,porteke02
267,Landry Shamet,NYK,$5357143,$5785714,$6214286,$6642857,,,$24000000,shamela01
268,Kris Murray,MEM,$5315004,,,,,,$5315004,murrakr01
269,Jordan Miller,LAC,$5300000,$5000000,$5000000,,,,$5300000,millejo02
270,Hannes Steinbach,CHO,$5227200,$5488560,$5750160,$8515987,,,$10715760,steinha02
271,Marcus Sasser,DAL,$5198983,,,,,,$5198983,sassema01
272,Devin Carter,ATL,$5158080,$7370897,,,,,$5158080,cartede02
273,Carter Bryant,SAS,$5145360,$5390640,$7983539,,,,$5145360,bryanca01
274,Ben Sheppard,IND,$5031669,,,,,,$5031669,sheppbe01
275,Kenrich Williams,OKC,$5000000,,,,,,$5000000,willike04
276,Dailyn Swain,CHI,$4965480,$5213760,$5461920,$8373124,,,$10179240,swainda01
277,Bub Carrington,WAS,$4900560,$7257730,,,,,$4900560,carrica01
278,Thomas Sorber,OKC,$4887720,$5120400,$7849573,,,,$4887720,sorbeth01
279,Brice Sensabaugh,UTA,$4862237,,,,,,$4862237,sensabr01
280,Julian Strawther,DEN,$4826931,,,,,,$4826931,strawju01
281,Bennett Stirtz,OKC,$4717320,$4953240,$5189400,$7960540,,,$9670560,stirtbe01
282,Kel'el Ware,MIL,$4654920,$7135992,,,,,$4654920,wareke01
283,Yang Hansen,POR,$4643520,$4864920,$7462788,,,,$4643520,yangha01
284,Gui Santos,GSW,$4629630,$5000000,$5370370,,,,$9629630,santogu01
285,Jose Alvarado,NYK,$4500000,$4860000,$5220000,,,,$14580000,alvarjo01
286,Josh Minott,BRK,$4500000,$4500000,,,,,$4500000,minotjo01
287,Ebuka Okorie,DET,$4481280,$4705440,$4929360,$7571497,,,$9186720,okorieb01
288,Jared McCain,OKC,$4422600,$6784268,,,,,$4422600,mccaija01
289,Joan Beringer,MIN,$4411200,$4621200,$7098163,,,,$4411200,berinjo01
290,Christian Anderson Jr.,CHO,$4257480,$4470000,$4683120,$7202639,,,$8727480,anderch02
291,Dalton Knecht,LAL,$4201080,$6452860,,,,,$4201080,knechda01
292,Walter Clayton,MEM,$4190520,$4390320,$6752312,,,,$4190520,claytwa01
293,Allen Graves,TOR,$4065720,$4268880,$4472640,$6887866,,,$8334600,graveal01
294,Nolan Traoré,BRK,$4002000,$4193040,$6457282,,,,$4002000,traorno01
295,Ryan Rollins,MIL,$4000000,$4000000,,,,,$4000000,rolliry01
296,Daniss Jenkins,DET,$4000000,,,,,,$4000000,jenkida01
297,Tristan Da Silva,ORL,$3991200,$6138466,,,,,$3991200,dasiltr01
298,Miles McBride,NYK,$3956523,,,,,,$3956523,mcbrimi01
299,Javonte Green,DET,$3943679,,,,,,$3943679,greenja02
300,Jayden Quaintance,SAS,$3902760,$4097880,$4292880,$6619621,,,$8000640,quainja01
301,DeAndre Jordan,NOP,$3876529,$4070355,,,,,$7946884,jordade01
302,LeBron James,PHI,$3876529,$4070355,,,,,$3876529,jamesle01
303,Svi Mykhailiuk,UTA,$3850000,$4025000,,,,,,mykhasv01
304,Kasparas Jakučionis,MIL,$3841680,$4024440,$6205687,,,,$3841680,jakucka01
305,Taurean Prince,DET,$3815861,,,,,,$3815861,princta02
306,Gary Harris,DET,$3815861,,,,,,$3815861,harriga01
307,Pat Connaughton,CHO,$3815861,,,,,,$3815861,connapa01
308,Ja'Kobe Walter,TOR,$3811800,$5870172,,,,,$3811800,walteja01
309,Karim López,MEM,$3746760,$3934320,$4121760,$6565964,,,$7681080,lopezka01
310,Cole Anthony,MEM,$3700000,$3700000,,,,,$7400000,anthoco01
311,Will Riley,WAS,$3688320,$3864000,$6155352,,,,$3688320,rileywi01
312,Jaylon Tyson,CLE,$3658560,$5641500,,,,,$3658560,tysonja01
313,Labaron Philon Jr.,PHI,$3597120,$3776760,$3956760,$6508871,,,$7373880,philola01
314,Drake Powell,BRK,$3540600,$3709320,$6101832,,,,$3540600,poweldr01
315,Yves Missi,NOP,$3512760,$5595827,,,,,$3512760,missiyv01
316,Zuby Ejiofor,ATL,$3453360,$3626160,$3798360,$6445818,,,$7079520,ejiofzu01
317,Dominick Barlow,PHI,$3415000,,,,,,$3415000,barlodo01
318,Ariel Hukporti,PHI,$3400000,,,,,,$3400000,hukpoar01
319,Asa Newell,ATL,$3399480,$3560880,$6042814,,,,$3399480,newelas01
320,DaRon Holmes,DEN,$3372120,$5547138,,,,,$3372120,holmeda01
321,Cameron Carr,LAL,$3315360,$3481080,$3646800,$6378253,,,$6796440,carrca01
322,Mo Bamba,UTA,$3286399,$3681991,,,,,$6968390,bambamo01
323,Nique Clifford,SAC,$3263400,$3418800,$5979481,,,,$3263400,cliffni01
324,AJ Johnson,MEM,$3237120,$5493394,,,,,$3237120,johnsaj01
325,Sergio de Larrea,DAL,$3182280,$3341280,$3500880,$6305086,,,$6523560,delarse01
326,Ron Harper Jr.,BOS,$3150752,$3308290,$3465828,$3779359,,,$6459042,harpero02
327,Jase Richardson,ORL,$3132360,$3282000,$5910882,,,,$3132360,richaja02
328,Kyshawn George,WAS,$3108000,$5435892,,,,,$3108000,georgky01
329,Nassir Little,PHO,$3107143,$3107143,$3107143,,,,$9321429,littlna01
330,Jaylen Clark,MIN,$3086420,$3333334,$3580246,,,,$10000000,clarkja02
331,Tarris Reed Jr.,SAS,$3076920,$3230520,$3384480,$6102218,,,$6307440,reedjta01
332,Ben Saraf,BRK,$3028560,$3172920,$5720776,,,,$3028560,sarafbe01
333,Tarik Biberovic,DAL,$3000000,$3000000,,,,,$3000000,biberta01
334,Kyle Filipowski,UTA,$3000000,$3000000,,,,,,filipky01
335,Chris Cenac Jr.,BOS,$2988120,$3137640,$3287400,$5930470,,,$6125760,cenacch01
336,Pacôme Dadiet,NYK,$2983680,$5373608,,,,,$2983680,dadiepa01
